lemma,part_of_speech,synonyms
dispossessed,verb,dispossess
dispossessed,satellite,homeless;roofless
disproportional,adjective,disproportionate
disproportionate,adjective,disproportional
disputable,satellite,debatable|arguable;debatable;moot
disputatious,satellite,contentious;combative;disputative;litigious
disputative,satellite,contentious;combative;disputatious;litigious
disputed,verb,challenge;dispute;gainsay|quarrel;dispute;scrap;argufy;altercate
disqualified,verb,disqualify;unfit;indispose|disqualify
disqualifying,verb,disqualify;unfit;indispose|disqualify
disqualifying,adjective,disabling
disquieted,verb,perturb;unhinge;disquiet;trouble;cark;distract;disorder
disquieted,satellite,distressed;disturbed;upset;worried
disquieting,verb,perturb;unhinge;disquiet;trouble;cark;distract;disorder
disregarded,verb,ignore;disregard;snub;cut|dismiss;disregard;brush aside;brush off;discount;push aside;ignore|neglect;ignore;disregard
disregarded,satellite,forgotten
disrespectful,satellite,aweless;awless
disrupted,verb,interrupt;disrupt;break up;cut off|disrupt|interrupt;disrupt
disruptive,satellite,riotous;troubled;tumultuous;turbulent
dissatisfactory,satellite,disappointing;unsatisfying
dissatisfied,verb,dissatisfy
dissatisfied,satellite,disgruntled
dissected,verb,dissect|analyze;analyse;break down;dissect;take apart
dissected,satellite,cleft
disseminative,satellite,diffusing;diffusive;dispersive
dissentient,satellite,recusant|dissenting;dissident
dissenting,verb,dissent|protest;resist;dissent|disagree;differ;dissent;take issue
dissenting,satellite,dissentient;dissident
dissentious,satellite,divisive;factious
dissident,noun,dissenter;protester;objector;contestant
dissident,satellite,heretical;heterodox|dissentient;dissenting
dissimilar,adjective,unalike|unlike;different
dissipated,verb,disperse;dissipate;dispel;break up;scatter|disperse;dissipate;scatter;spread out|fritter;frivol away;dissipate;shoot;fritter away;fool;fool away|dissipate
dissipated,satellite,debauched;degenerate;degraded;dissolute;libertine;profligate;riotous;fast|betting;card-playing;sporting
dissociable,satellite,separable;severable
dissoluble,satellite,dissolvable
dissolute,satellite,debauched;degenerate;degraded;dissipated;libertine;profligate;riotous;fast
dissolvable,satellite,dissoluble
dissolved,verb,dissolve;fade out;fade away|dissolve;resolve;break up|dissolve;break up|disband;dissolve|dissolve|dissolve|dissolve|dissolve|dissolve;thaw;unfreeze;unthaw;dethaw;melt|dissolve;break up|dissolve;dismiss
dissonant,satellite,unresolved|discordant;disharmonious;inharmonic|at variance;discrepant
distaff,satellite,female
distant,adjective,remote
distant,satellite,aloof;upstage|remote;removed|remote
distasteful,satellite,unsavory;unsavoury|disgusting;disgustful;foul;loathly;loathsome;repellent;repellant;repelling;revolting;skanky;wicked;yucky
distinct,satellite,distinguishable|discrete|decided|clear-cut;trenchant
distinctive,satellite,typical|classifiable
distinguishable,satellite,distinct
distinguished,verb,distinguish;separate;differentiate;secern;secernate;severalize;severalise;tell;tell apart|spot;recognize;recognise;distinguish;discern;pick out;make out;tell apart|distinguish;mark;differentiate|signalize;signalise;distinguish|identify;discover;key;key out;distinguish;describe;name
distinguished,satellite,grand;imposing;magisterial
distorted,verb,falsify;distort;garble;warp|twist;twine;distort|contort;deform;distort;wring|tinge;color;colour;distort|deform;distort;strain
distorted,satellite,deformed;ill-shapen;malformed;misshapen|misrepresented;perverted;twisted
distracted,verb,distract;deflect|perturb;unhinge;disquiet;trouble;cark;distract;disorder
distracted,satellite,distrait
distrait,satellite,distracted
distraught,satellite,overwrought
distressed,verb,straiten;distress|distress
distressed,satellite,hard-pressed;hard put;in a bad way|stressed|disquieted;disturbed;upset;worried
distressed,adjective,dysphoric;unhappy
distressful,satellite,distressing;disturbing;perturbing;troubling;worrisome;worrying
distressing,verb,straiten;distress|distress
distressing,satellite,distressful;disturbing;perturbing;troubling;worrisome;worrying|deplorable;lamentable;pitiful;sad;sorry
distributed,verb,distribute;administer;mete out;deal;parcel out;lot;dispense;shell out;deal out;dish out;allot;dole out|spread;distribute|distribute|distribute;give out;hand out;pass out|circulate;pass around;pass on;distribute|circulate;circularize;circularise;distribute;disseminate;propagate;broadcast;spread;diffuse;disperse;pass around|distribute|distribute|distribute|stagger;distribute
disturbed,verb,disturb;upset;trouble|agitate;vex;disturb;commove;shake up;stir up;raise up|touch;disturb|interrupt;disturb|disturb
disturbed,satellite,disquieted;distressed;upset;worried|maladjusted|brainsick;crazy;demented;mad;sick;unbalanced;unhinged
disturbing,verb,disturb;upset;trouble|agitate;vex;disturb;commove;shake up;stir up;raise up|touch;disturb|interrupt;disturb|disturb
disturbing,satellite,distressing;distressful;perturbing;troubling;worrisome;worrying
disunited,verb,disassociate;dissociate;divorce;disunite;disjoint|separate;disunite;divide;part
disunited,satellite,disconnected;fragmented;split
disused,satellite,obsolete
divalent,adjective,bivalent
divergent,adjective,diverging
diverging,verb,diverge|diverge|diverge|deviate;vary;diverge;depart
diverging,adjective,divergent
divers,noun,diver;frogman;underwater diver|diver;plunger|loon;diver
divers,satellite,diverse
diverse,satellite,divers|various
diversified,verb,diversify|diversify;radiate|diversify;branch out;broaden
diverted,verb,deviate;divert|divert|amuse;divert;disport|divert;hive off
diverted,satellite,amused;entertained
diverting,verb,deviate;divert|divert|amuse;divert;disport|divert;hive off
diverting,satellite,amusing;amusive
divided,verb,divide;split;split up;separate;dissever;carve up|divide;fraction|separate;divide|separate;divide;part|separate;divide|separate;disunite;divide;part
divided,satellite,dual-lane|divided up;shared;shared out
divided up,satellite,divided;shared;shared out
divinatory,satellite,mantic;sibylline;sibyllic;vatic;vatical|conjectural;hypothetical;hypothetic;supposed;suppositional;suppositious;supposititious
divine,noun,Godhead;Lord;Creator;Maker;Divine;God Almighty;Almighty;Jehovah|cleric;churchman;ecclesiastic
divine,satellite,godly|providential|godlike|godlike|elysian;inspired
divisive,satellite,dissentious;factious
divorced,verb,disassociate;dissociate;divorce;disunite;disjoint|divorce;split up
dizygotic,adjective,dizygous
dizygous,adjective,dizygotic
dizzy,satellite,giddy;woozy;vertiginous|airheaded;empty-headed;featherbrained;giddy;light-headed;lightheaded;silly
djiboutian,noun,Djiboutian
djiboutian,adjective,Djiboutian
do-nothing,noun,idler;loafer;layabout;bum
do-or-die,satellite,desperate
doable,satellite,accomplishable;achievable;manageable;realizable
docile,satellite,teachable|gentle
doctoral,adjective,doctorial
doctorial,adjective,doctoral
doctrinaire,noun,dogmatist
documental,adjective,documentary
documentary,noun,docudrama;documentary film;infotainment
documentary,adjective,documental
documentary,satellite,objective
documented,verb,document|document
documented,satellite,attested;authenticated
doddering,verb,toddle;coggle;totter;dodder;paddle;waddle
doddering,satellite,doddery;gaga;senile
doddery,satellite,doddering;gaga;senile
dodgy,satellite,chancy;chanceful;dicey|crafty;cunning;foxy;guileful;knavish;slick;sly;tricksy;tricky;wily
dog-eared,satellite,eared
dog-tired,satellite,exhausted;fagged;fatigued;played out;spent;washed-out;worn-out;worn out
dogged,verb,chase;chase after;trail;tail;tag;give chase;dog;go after;track
dogged,satellite,dour;persistent;pertinacious;tenacious;unyielding
dogging,verb,chase;chase after;trail;tail;tag;give chase;dog;go after;track
dogging,satellite,persisting
dogmatic,satellite,dogmatical
dogmatical,satellite,dogmatic
dolabrate,satellite,dolabriform
dolabriform,satellite,dolabrate
doled out,satellite,apportioned;dealt out;meted out;parceled out
doleful,satellite,mournful
dolichocephalic,adjective,dolichocranial;dolichocranic
dolichocranial,adjective,dolichocephalic;dolichocranic
dolichocranic,adjective,dolichocephalic;dolichocranial
dolled up,satellite,dressed;dressed-up;dressed to the nines;dressed to kill;spruced up;spiffed up;togged up
dolorous,satellite,dolourous;lachrymose;tearful;weeping
dolourous,satellite,dolorous;lachrymose;tearful;weeping
doltish,satellite,cloddish
domed,satellite,vaulted
domestic,noun,domestic help;house servant
domestic,satellite,domesticated
domesticated,verb,domesticate;cultivate;naturalize;naturalise;tame|domesticate;domesticize;domesticise;reclaim;tame|domesticate;tame
domesticated,satellite,domestic
dominant,noun,dominant allele
dominant,satellite,prevailing;prevalent;predominant;rife
dominated,verb,predominate;dominate;rule;reign;prevail|dominate|dominate;master|overshadow;dominate;eclipse|dominate;command;overlook;overtop
dominated,satellite,henpecked
dominating,verb,predominate;dominate;rule;reign;prevail|dominate|dominate;master|overshadow;dominate;eclipse|dominate;command;overlook;overtop
dominating,satellite,ascendant;ascendent|commanding;overlooking|autocratic;bossy;high-and-mighty;magisterial;peremptory
domineering,verb,tyrannize;tyrannise;domineer
dominican,noun,Dominican;Black Friar;Blackfriar;friar preacher|Dominican
dominican,adjective,Dominican|Dominican
donatist,noun,Donatist
donatist,adjective,Donatist
done,verb,make;do|perform;execute;do|do;perform|do;fare;make out;come;get along|cause;do;make|practice;practise;exercise;do|suffice;do;answer;serve|do;make|act;behave;do|serve;do|do;manage|dress;arrange;set;do;coif;coiffe;coiffure|do
done,satellite,through;through with
done for,satellite,kaput;gone|ruined;sunk;undone;washed-up
done with,satellite,through with
donnean,adjective,Donnean;Donnian
donnian,adjective,Donnean;Donnian
donnish,satellite,academic;pedantic
doomed,noun,lost
doomed,verb,destine;fate;doom;designate|sentence;condemn;doom|doom
doomed,satellite,cursed;damned;unredeemed;unsaved|ill-fated;ill-omened;ill-starred;unlucky|fated
door-to-door,satellite,house-to-house
doped,verb,dope|dope|dope;dope up
doped,satellite,drugged;narcotized;narcotised
dopey,satellite,anserine;dopy;foolish;goosey;goosy;gooselike;jerky
dopy,satellite,anserine;dopey;foolish;goosey;goosy;gooselike;jerky
dorian,noun,Dorian|Dorian
dorian,adjective,Dorian
doric,noun,Doric;Doric dialect
dormant,satellite,hibernating;torpid|sleeping|abeyant
dormant,adjective,inactive
dormie,satellite,dormy
dormy,satellite,dormie
dorsal,adjective,abaxial
dosed,verb,dose|drug;dose
dostoevskian,adjective,Dostoevskian;Dostoyevskian
dostoyevskian,adjective,Dostoevskian;Dostoyevskian
dot-com,noun,dot com;dot com company
doting,verb,dote|dote|dot;stud;constellate|scatter;sprinkle;dot;dust;disperse|dot|dot
doting,satellite,adoring;fond
dotted,verb,dot;stud;constellate|scatter;sprinkle;dot;dust;disperse|dot|dot
dotted,satellite,flecked;specked;speckled;stippled|dashed
dotty,satellite,balmy;barmy;bats;batty;bonkers;buggy;cracked;crackers;daft;fruity;haywire;kooky;kookie;loco;loony;loopy;nuts;nutty;round the bend;around the bend;wacky;whacky|crazy;wild;gaga
double,noun,two-base hit;two-bagger;two-baser|stunt man;stunt woman|image;look-alike|doubling
double,verb,duplicate|double over;double up|duplicate;reduplicate;repeat;replicate
double,satellite,dual;twofold;two-fold;treble;threefold;three-fold|dual;duple|doubled;twofold;two-fold|forked
double,adjective,bivalent
double,adverb,doubly;twice
double-barreled,adjective,double-barrelled
double-barreled,satellite,double-barrelled
double-barrelled,adjective,double-barreled
double-barrelled,satellite,double-barreled
double-bass,satellite,contrabass
double-chinned,satellite,jowly;loose-jowled
double-dealing,noun,duplicity
double-dealing,satellite,ambidextrous;deceitful;duplicitous;Janus-faced;two-faced;double-faced;double-tongued
double-dyed,satellite,arrant;complete;consummate;everlasting;gross;perfect;pure;sodding;stark;staring;thoroughgoing;utter;unadulterated
double-faced,satellite,ambidextrous;deceitful;double-dealing;duplicitous;Janus-faced;two-faced;double-tongued
double-geared,satellite,back-geared
double-humped,adjective,two-humped
double-spaced,verb,double-space
double-tongued,satellite,ambidextrous;deceitful;double-dealing;duplicitous;Janus-faced;two-faced;double-faced
doubled,verb,double;duplicate|double|double over;double;double up|double|double|duplicate;reduplicate;double;repeat;replicate
doubled,satellite,double;twofold;two-fold
doubtful,satellite,dubious;dubitable;in question|dubious|tentative
doubting,verb,doubt|doubt
doubting,satellite,questioning;skeptical;sceptical
doughnut-shaped,satellite,annular;annulate;annulated;circinate;ringed;ring-shaped
doughy,satellite,soggy
dour,satellite,dogged;persistent;pertinacious;tenacious;unyielding|forbidding;grim|dark;glowering;glum;moody;morose;saturnine;sour;sullen
dovish,satellite,pacifist;pacifistic
dowdy,noun,Dowding;Hugh Dowding;Baron Hugh Caswall Tremenheere Dowding;Dowdy|pandowdy
dowdy,satellite,frumpy;frumpish
dowered,verb,endow;dower
down,noun,down feather|Down;John L. H. Down|pile
down,verb,toss off;pop;bolt down;belt down;pour down;drink down;kill|devour;consume;go through|shoot down;land|knock down;cut down;push down;pull down|polish;refine;fine-tune
down,satellite,downward|down pat;mastered|depressed|gloomy;grim;blue;depressed;dispirited;downcast;downhearted;down in the mouth;low;low-spirited
down,adverb,downwards;downward;downwardly
down-to-earth,satellite,earthy
down in the mouth,satellite,gloomy;grim;blue;depressed;dispirited;down;downcast;downhearted;low;low-spirited
down pat,satellite,down;mastered
downcast,satellite,gloomy;grim;blue;depressed;dispirited;down;downhearted;down in the mouth;low;low-spirited
downhearted,satellite,gloomy;grim;blue;depressed;dispirited;down;downcast;down in the mouth;low;low-spirited
downhill,satellite,declivitous;downward-sloping
downlike,satellite,downy;flossy;fluffy
downright,satellite,absolute;out-and-out;rank;right-down;sheer
downstair,adjective,downstairs
downstairs,adjective,downstair
downstairs,adverb,down the stairs;on a lower floor;below
downstream,adverb,downriver
downtown,noun,business district
downward,satellite,down
downward,adverb,down;downwards;downwardly
downward-sloping,satellite,declivitous;downhill
downwind,satellite,lee
downwind,adverb,windward
downy,satellite,downlike;flossy;fluffy|pubescent;puberulent;sericeous
dozen,noun,twelve;12;XII
dozen,satellite,twelve;12;xii
dozy,satellite,drowsy;drowsing
drab,noun,olive drab
drab,satellite,dreary|sober;somber;sombre|olive-drab|blue;dark;dingy;disconsolate;dismal;gloomy;grim;sorry;drear;dreary
draconian,adjective,Draconian
drafty,satellite,draughty
dragging,verb,drag|haul;hale;cart;drag|embroil;tangle;sweep;sweep up;drag;drag in|drag|drag;trail;get behind;hang back;drop behind;drop back|puff;drag;draw|drag|scuff;drag|dredge;drag|drag|drag;drag on;drag out
draggled,verb,bedraggle;draggle
draggled,satellite,bedraggled
drained,verb,drain;run out|drain|drain|enfeeble;debilitate;drain
drained,satellite,knackered|dead
draining,verb,drain;run out|drain|drain|enfeeble;debilitate;drain
draining,satellite,exhausting
dramatic,satellite,spectacular;striking
dramaturgic,adjective,dramaturgical
dramaturgical,adjective,dramaturgic
draped,verb,drape|drape|clothe;cloak;drape;robe|drape
draped,satellite,cloaked;clothed;mantled;wrapped
draughty,satellite,drafty
drawn,verb,pull;draw;force|reap;draw|trace;draw;line;describe;delineate|draw;make|draw;pull;pull out;get out;take out|draw|draw;take out|describe;depict;draw|draw|draw|puff;drag;draw|draw|withdraw;draw;take out;draw off|draw;cast|draw;get|draw|draw|draw|draw|draw|draw|draw|draw;quarter;draw and quarter|pull;draw|absorb;suck;imbibe;soak up;sop up;suck up;draw;take in;take up|attract;pull;pull in;draw;draw in|string;thread;draw|pull back;draw|guide;run;draw;pass|tie;draw|draw|draw|draw|disembowel;eviscerate;draw|draw|draw
drawn,satellite,careworn;haggard;raddled;worn
drawn-out,satellite,extended;lengthy;prolonged;protracted
dread,noun,apprehension;apprehensiveness
dread,verb,fear
dread,satellite,awful;dire;direful;dreaded;dreadful;fearful;fearsome;frightening;horrendous;horrific;terrible
dreaded,verb,fear;dread
dreaded,satellite,awful;dire;direful;dread;dreadful;fearful;fearsome;frightening;horrendous;horrific;terrible
dreadful,satellite,awful;dire;direful;dread;dreaded;fearful;fearsome;frightening;horrendous;horrific;terrible|atrocious;abominable;awful;painful;terrible;unspeakable
dreamed,verb,dream;daydream;woolgather;stargaze|dream
dreamlike,satellite,surreal
dreamy,satellite,moony;woolgathering|lackadaisical;languid;languorous
drear,satellite,blue;dark;dingy;disconsolate;dismal;gloomy;grim;sorry;drab;dreary
dreary,satellite,drab|blue;dark;dingy;disconsolate;dismal;gloomy;grim;sorry;drab;drear
drenched,verb,swamp;drench|drench|imbrue;drench|drench;douse;dowse;soak;sop;souse
drenched,satellite,drenched in
drenched in,satellite,drenched
dress,noun,frock|attire;garb|apparel;wearing apparel;clothes
dress,verb,get dressed|clothe;enclothe;garb;raiment;tog;garment;habilitate;fit out;apparel|dress up|preen;primp;plume|dress out|line up|trim;garnish|decorate|snip;clip;crop;trim;lop;prune;cut back|groom;curry|arrange;set;do;coif;coiffe;coiffure
dress,satellite,full-dress|full-dress
dressed,verb,dress;get dressed|dress;clothe;enclothe;garb;raiment;tog;garment;habilitate;fit out;apparel|dress|dress;dress up|preen;primp;plume;dress|dress;dress out|dress;line up|trim;garnish;dress|dress;decorate|dress|snip;clip;crop;trim;lop;dress;prune;cut back|dress|dress|dress|dress;groom;curry|dress;arrange;set;do;coif;coiffe;coiffure
dressed,satellite,appareled;attired;garbed;garmented;habilimented;robed|polished|dressed-up;dressed to the nines;dressed to kill;dolled up;spruced up;spiffed up;togged up
dressed-up,satellite,dressed;dressed to the nines;dressed to kill;dolled up;spruced up;spiffed up;togged up
dressed to kill,satellite,dressed;dressed-up;dressed to the nines;dolled up;spruced up;spiffed up;togged up
dressed to the nines,satellite,dressed;dressed-up;dressed to kill;dolled up;spruced up;spiffed up;togged up
dried,verb,dry;dry out|dry;dry out
dried,satellite,dehydrated;desiccated
dried-out,satellite,desiccated
dried-up,satellite,sere;sear;shriveled;shrivelled;withered
drifting,verb,float;drift;be adrift;blow|stray;err;drift|roll;wander;swan;stray;tramp;roam;cast;ramble;rove;range;drift;vagabond|drift|freewheel;drift|drift|drift|drift|drift|drift
drifting,satellite,aimless;floating;vagabond;vagrant
drilled,verb,bore;drill|drill|drill;exercise;practice;practise|drill|drill
drinkable,noun,beverage;drink;potable
drinkable,adjective,potable
drip-dry,satellite,wash-and-wear|permanent-press
drippy,satellite,drizzly|bathetic;hokey;maudlin;mawkish;kitschy;mushy;schmaltzy;schmalzy;sentimental;soppy;soupy;slushy
driven,verb,drive|drive;motor|drive|force;drive;ram|drive|repel;drive;repulse;force back;push back;beat back|drive|drive|drive|tug;labor;labour;push;drive|drive;get;aim|drive;ride|drive|drive|drive|drive;take|drive|drive|drive|drive|drive|drive
driven,satellite,goaded|impelled|compulsive;determined
driving,noun,drive
driving,verb,drive|drive;motor|drive|force;drive;ram|drive|repel;drive;repulse;force back;push back;beat back|drive|drive|drive|tug;labor;labour;push;drive|drive;get;aim|drive;ride|drive|drive|drive|drive;take|drive|drive|drive|drive|drive|drive
driving,satellite,impulsive
drizzling,verb,drizzle;mizzle|drizzle;moisten
drizzly,satellite,drippy
drooping,verb,sag;droop;swag;flag|droop;loll|wilt;droop
drooping,satellite,flagging|droopy;sagging|cernuous;nodding;pendulous;weeping
droopy,satellite,drooping;sagging
dropping,verb,drop|drop|drop|sink;drop;drop down|drop|drop|drop;knock off|drop;drop off;set down;put down;unload;discharge|fell;drop;strike down;cut down|drop|spend;expend;drop|flatten;drop|dangle;swing;drop|dismiss;send packing;send away;drop|dribble;drip;drop|shed;cast;cast off;shake off;throw;throw off;throw away;drop|drop|drop|neglect;pretermit;omit;drop;miss;leave out;overlook;overleap|drop|drop|devolve;deteriorate;drop;degenerate|drop
dropping,satellite,falling
dropsical,satellite,edematous
drowsing,verb,snooze;drowse;doze|drowse
drowsing,satellite,drowsy;dozy
drowsy,satellite,drowsing;dozy|oscitant;yawning
drudging,verb,labor;labour;toil;fag;travail;grind;drudge;dig;moil
drudging,satellite,laboring;labouring;toiling
drug-addicted,satellite,dependent;dependant;hooked;strung-out
drugged,verb,drug;dose|drug;do drugs
drugged,satellite,doped;narcotized;narcotised
drum-like,satellite,drum-shaped
drum-shaped,satellite,drum-like
drumhead,noun,head
drumhead,satellite,summary
drunk,noun,drunkard;rummy;sot;inebriate;wino
drunk,verb,drink;imbibe|drink;booze;fuddle|toast;drink;pledge;salute;wassail|drink in;drink|drink;tope
drunk,adjective,intoxicated;inebriated
drunk,satellite,intoxicated
drunken,satellite,bibulous;boozy;sottish
dry,noun,prohibitionist
dry,verb,dry out|dry out
dry,satellite,ironic;ironical;wry|juiceless|teetotal
dry-eyed,adjective,tearless
dual,satellite,double;duple|double;twofold;two-fold;treble;threefold;three-fold
dual-lane,satellite,divided
dualistic,adjective,Manichaean
dubious,satellite,doubtful|doubtful;dubitable;in question
dubitable,satellite,doubtful;dubious;in question
duck-billed,satellite,duckbill
duckbill,noun,paddlefish;Polyodon spathula|platypus;duckbilled platypus;duck-billed platypus;Ornithorhynchus anatinus
duckbill,satellite,duck-billed
ductile,satellite,malleable|malleable;pliable;pliant;tensile;tractile
dud,noun,flop;washout|misfire|turkey;bomb
due,satellite,ascribable;imputable;referable
dulcet,satellite,honeyed;mellifluous;mellisonant;sweet
dull,verb,muffle;mute;damp;dampen;tone down|numb;benumb;blunt|blunt|pall
dull,satellite,muffled;muted;softened|boring;deadening;ho-hum;irksome;slow;tedious;tiresome;wearisome|dense;dim;dumb;obtuse;slow|slow;sluggish|thudding|leaden
dulled,verb,dull|dull|muffle;mute;dull;damp;dampen;tone down|numb;benumb;blunt;dull|dull;blunt|pall;dull|dull
dulled,satellite,benumbed|blunted|greyed
dumb,satellite,dense;dim;dull;obtuse;slow|speechless|mute;silent
dumbfounded,verb,perplex;vex;stick;get;puzzle;mystify;baffle;beat;pose;bewilder;flummox;stupefy;nonplus;gravel;amaze;dumbfound
dumbfounded,satellite,dumfounded;flabbergasted;stupefied;thunderstruck;dumbstruck;dumbstricken
dumbfounding,verb,perplex;vex;stick;get;puzzle;mystify;baffle;beat;pose;bewilder;flummox;stupefy;nonplus;gravel;amaze;dumbfound
dumbfounding,satellite,astounding;dumfounding
dumbstricken,satellite,dumbfounded;dumfounded;flabbergasted;stupefied;thunderstruck;dumbstruck
dumbstruck,satellite,dumbfounded;dumfounded;flabbergasted;stupefied;thunderstruck;dumbstricken
dumfounded,satellite,dumbfounded;flabbergasted;stupefied;thunderstruck;dumbstruck;dumbstricken
dumfounding,satellite,astounding;dumbfounding
dummy,noun,silent person|dumbbell;dope;boob;booby;pinhead|blank;blank shell
dummy,verb,dummy up
dumpy,satellite,chunky;low-set;squat;squatty;stumpy|podgy;pudgy;tubby;roly-poly
dun,noun,greyish brown;grayish brown;fawn
dun,verb,torment;rag;bedevil;crucify;frustrate
dun-colored,satellite,dun-coloured
dun-coloured,satellite,dun-colored
duncical,satellite,blockheaded;boneheaded;duncish;fatheaded;loggerheaded;thick;thickheaded;thick-skulled;wooden-headed
duncish,satellite,blockheaded;boneheaded;duncical;fatheaded;loggerheaded;thick;thickheaded;thick-skulled;wooden-headed
duodecimal,noun,one-twelfth;twelfth;twelfth part
duple,satellite,double;dual
duplex,noun,duplex house;semidetached house|duplex apartment
duplicable,satellite,duplicatable
duplicatable,satellite,duplicable
duplicate,noun,extra|duplication
duplicate,verb,reduplicate;double;repeat;replicate|twin;parallel|double
duplicate,satellite,matching;twin;twinned
duplicitous,satellite,ambidextrous;deceitful;double-dealing;Janus-faced;two-faced;double-faced;double-tongued
durable,satellite,lasting;long-lasting;long-lived|long-wearing|indestructible;perdurable;undestroyable
dusky,satellite,twilight;twilit|dark-skinned;swart;swarthy
dusky-colored,satellite,dark-colored;dark-coloured;dusky-coloured
dusky-coloured,satellite,dark-colored;dark-coloured;dusky-colored
dust-covered,satellite,dusty
dusty,satellite,dust-covered|cold;stale;moth-eaten
dutch,noun,Dutch;Dutch people|Dutch
dutch,adjective,Dutch
duteous,satellite,dutiful
dutiful,satellite,duteous
duty-bound,satellite,obliged
dwindling,noun,dwindling away
dwindling,verb,dwindle;dwindle away;dwindle down
dwindling,satellite,tapering;tapering off
dyed,verb,dye
dyed,satellite,bleached;colored;coloured
dying,noun,death;demise
dying,verb,die;decease;perish;go;exit;pass away;expire;pass;kick the bucket;cash in one's chips;buy the farm;conk;give-up the ghost;drop dead;pop off;choke;croak;snuff it|die|die|fail;go bad;give way;die;give out;conk out;go;break;break down|die|die|die;die out|die|die;pall;become flat|die|die
dying,satellite,anxious
dynamic,noun,moral force
dynamic,adjective,dynamical|active
dynamical,adjective,dynamic
dysfunctional,satellite,nonadaptive
dysgenic,adjective,cacogenic
dyslectic,satellite,dyslexic
dyslexic,satellite,dyslectic
dyslogistic,satellite,dislogistic;pejorative
dyspeptic,satellite,atrabilious;bilious;liverish
dysphemistic,adjective,offensive
dysphoric,adjective,distressed;unhappy
dyspneal,adjective,breathless;dyspneic;dyspnoeic;dyspnoeal
dyspneic,adjective,breathless;dyspnoeic;dyspneal;dyspnoeal
dyspnoeal,adjective,breathless;dyspneic;dyspnoeic;dyspneal
dyspnoeic,adjective,breathless;dyspneic;dyspneal;dyspnoeal
each,adverb,to each one;for each one;from each one;apiece
eager,noun,tidal bore;bore;eagre;aegir
eagle-eyed,satellite,keen-sighted;farseeing;longsighted
ear-like,satellite,auriform;ear-shaped
ear-shaped,satellite,auriform;ear-like
eared,satellite,dog-eared
earlier,satellite,earliest|early;former;other|early|early
earlier,adjective,early|early|early
earlier,adverb,before|sooner|in the first place;in the beginning;to begin with;originally
earliest,satellite,earlier|early;former;other|early|early
earliest,adjective,early|early|early
earliest,adverb,soonest
early,satellite,former;other
early,adverb,early on|ahead of time;too soon|betimes
early-blooming,satellite,spring-flowering;early-flowering;spring-blooming;late-spring-blooming
early-flowering,satellite,spring-flowering;spring-blooming;early-blooming;late-spring-blooming
earned,verb,gain;take in;clear;make;earn;realize;realise;pull in;bring in|earn;garner
earnest,satellite,sincere;solemn|dear;devout;heartfelt|businesslike
earsplitting,satellite,deafening;thunderous;thundery
earthbound,satellite,pedestrian;prosaic;prosy
earthshaking,satellite,world-shaking;world-shattering
earthy,satellite,crude;gross;vulgar|down-to-earth
eased,verb,ease|comfort;ease|facilitate;ease;alleviate|still;allay;relieve;ease
eased,satellite,alleviated;relieved
east,noun,due east;eastward;E|East;Orient|East;eastern United States
east african,adjective,East African
east german,noun,East German
east german,adjective,East German
east indian,noun,East Indian
east indian,adjective,East Indian
east pakistani,adjective,Bangladeshi;East Pakistani
eastbound,satellite,eastward
easterly,noun,east wind;easter
easterly,satellite,eastern|eastern
eastern,satellite,easterly|easterly
eastern orthodox,noun,Orthodox Church;Orthodox Catholic Church;Eastern Orthodox Church;Eastern Church;Eastern Orthodox
eastern orthodox,adjective,Orthodox;Eastern Orthodox;Russian Orthodox;Greek Orthodox
easternmost,satellite,eastmost
eastmost,satellite,easternmost
eastward,noun,east;due east;E
eastward,satellite,eastbound
eastward,adverb,eastwards
easy,satellite,easygoing;leisurely|gentle;soft|comfortable;prosperous;well-fixed;well-heeled;well-off;well-situated;well-to-do|gentle|light;loose;promiscuous;sluttish;wanton
easy,adverb,easily|slowly;slow;tardily|soft
easygoing,satellite,easy;leisurely|cushy;soft
eatable,noun,comestible;edible;pabulum;victual;victuals
eatable,adjective,edible;comestible
ebionite,noun,Nazarene;Ebionite
ebionite,adjective,Ebionite
ebon,satellite,ebony
ebony,noun,coal black;jet black;pitch black;sable;soot black|ebony tree;Diospyros ebenum
ebony,satellite,ebon
ebullient,satellite,exuberant;high-spirited
eccentric,noun,eccentric person;flake;oddball;geek|character;type;case
eccentric,satellite,bizarre;freakish;freaky;flaky;flakey;gonzo;off-the-wall;outlandish;outre
eccentric,adjective,nonconcentric
ecclesiastic,noun,cleric;churchman;divine
ecclesiastic,adjective,ecclesiastical
ecclesiastical,adjective,ecclesiastic
echoic,adjective,imitative;onomatopoeic;onomatopoeical;onomatopoetic
echoic,satellite,echolike
echoing,verb,repeat;echo|resound;echo;ring;reverberate|echo;recall
echoing,satellite,reechoing
echolike,satellite,echoic
echt,adjective,genuine
eclectic,noun,eclecticist
ecologic,adjective,ecological|ecological;bionomical;bionomic
ecological,adjective,ecologic|ecologic;bionomical;bionomic
economic,adjective,economical
economic,satellite,economical
economical,satellite,economic|frugal;scotch;sparing;stinting
economical,adjective,economic
ecstatic,satellite,enraptured;rapturous;rapt;rhapsodic
ectodermal,adjective,ectodermic
ectodermic,adjective,ectodermal
ectothermic,satellite,poikilothermic;poikilothermous;heterothermic
ectozoan,noun,ectoparasite;ectozoon;epizoan;epizoon
